Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP,Population,Continent
Indonesia,1991,46.93707616,16.87408806,36.18883578,2.617,1.17E+11,186778238,Asia
"Iran, Islamic Rep.",1991,24.98462799,31.36246408,43.65290793,11.1,1.32E+11,59986931,Asia
Iraq,1991,18.10412166,24.62789513,57.26800924,8.652,407796349.7,17767253,Asia
Ireland,1991,13.96612487,27.33559581,58.69827932,15.771,49787502852,3534235,Europe
Israel,1991,3.535095097,28.79576186,67.66908625,13.387,70998755007,4949000,Asia
Italy,1991,8.44284597,34.90042,56.65673403,10.097,1.25E+12,56758521,Europe
Jamaica,1991,27.92994951,19.19656577,52.87338716,6.235,4106207649,2400869,North America
Japan,1991,6.736078086,34.5953614,58.66856207,2.059,3.65E+12,123964000,Asia
Jordan,1991,4.847567292,20.97133022,74.18126185,21.406,4344467193,3915149,Asia
Kazakhstan,1991,36.65737334,18.20951521,45.13311144,0.9,24923076923,17278600,Asia
Kenya,1991,47.99180744,13.62368165,38.38449938,2.792,8151488783,23646514,Africa
"Korea, Rep.",1991,16.36684874,35.95138485,47.68176641,2.407,3.31E+11,43295704,Asia
Kuwait,1991,2.381915041,22.37184455,75.24624041,0.881,11009993703,1351399,Asia
Kyrgyz Republic,1991,35.49971115,26.5492078,37.95108105,1,2542256424,4463634,Asia
Lao PDR,1991,86.34339862,3.033536499,10.62300204,2.498,1028087972,4435118,Asia
Lebanon,1991,7.327210968,23.93146159,68.74132744,8.609,4690415093,3668912,Asia
Lesotho,1991,51.39426562,18.79881437,29.80692002,15.59,704325366.7,1842379,Africa
Liberia,1991,55.56854529,11.58284642,32.84860829,2.641,348000000,1956518,Africa
Libya,1991,14.41850889,28.09530459,57.48618652,18.538,31991821265,4544400,Africa
Luxembourg,1991,3.533440724,26.89583513,69.57010932,1.482,13834219728,387000,Europe
"Macao SAR, China",1991,0.399949841,30.57042351,69.02962665,3.01,3765249711,351650,Asia
Madagascar,1991,79.20566021,8.907464191,11.8868756,6.168,3254713056,12421412,Africa
Malawi,1991,75.02968583,7.241118094,17.72919608,4.923,3206783830,9844227,Africa
Malaysia,1991,18.88788292,31.38482376,49.72729332,3.702,49143148094,18342464,Asia
Maldives,1991,21.69918126,22.72138087,55.57943787,0.799,244396761.9,231802,Asia
Mali,1991,69.27312139,7.353996739,23.37288187,1.405,2724131458,9362888,Africa
Malta,1991,2.619812665,34.13031617,63.250629,6.353,2750216747,363845,Europe
Mauritania,1991,47.05894778,15.92570062,37.0153516,9.984,2133692697,2009738,Africa
Mauritius,1991,14.78427467,40.03142404,45.18406359,9.507,2895354736,1070266,Africa
Mexico,1991,25.93573894,23.47157959,50.59268838,3.145,3.13E+11,84430572,North America
Moldova,1991,41.78745627,19.41346137,38.79908236,1.9,3094565871,2981566,Europe
Mongolia,1991,43.84984079,17.2258088,38.92435041,5.659,2379018326,2165342,Asia
Morocco,1991,42.9799106,24.42844984,32.59163956,13.538,32285573574,24799014,Africa
Mozambique,1991,85.05384333,2.335997635,12.61015903,2.842,3854856435,13352090,Africa
Myanmar,1991,69.24663097,8.706880776,22.04647803,0.832,2069832687,40394154,Asia
Namibia,1991,48.28431976,15.04559561,36.67008463,19.14,2996869281,1415684,Africa
Nepal,1991,77.47604863,8.492966681,14.03098469,10.484,3921476085,20036500,Asia
Netherlands,1991,4.291154873,24.90027255,70.80857258,7.285,3.28E+11,15069798,Europe
New Caledonia,1991,8.078449328,24.50091575,67.42063492,18.009,2653780672,181238,Oceania
New Zealand,1991,10.76414286,23.78738068,65.44847646,10.614,42745329732,3495100,Oceania
Nicaragua,1991,35.02782146,18.36606228,46.60611626,7.946,1488804124,4259637,North America
Niger,1991,79.05627002,8.662239705,12.28149028,1.583,3285796875,8546900,Africa
Nigeria,1991,52.35655723,11.41369943,36.22974333,3.851,59526833412,99720162,Africa
